x,y,theta
7.80099,-15.7574,-1.5344
7.80208,-15.7874,-1.51448
7.80377,-15.8173,-1.53448
7.80486,-15.8473,-1.51457
7.80654,-15.8773,-1.53457
7.80763,-15.9073,-1.51464
7.80931,-15.9372,-1.53464
7.8104,-15.9672,-1.51472
7.81208,-15.9971,-1.53472
7.81316,-16.0271,-1.51479
7.81484,-16.0571,-1.53479
7.81592,-16.0871,-1.51486
7.8176,-16.117,-1.53486
7.81867,-16.147,
